Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
31	69.17544	36.245327	151.0	14.0	69.17544	27.180523	12.644637	43.32069	-1.3627204	128000	-0.046653807	344.44067	-0.0011076741	-115.25075	0.63156456	3.624571e-05	755.640111207962
32	69.26316	41.413418	182.0	18.0	69.26316	32.49218	12.521456	45.964043	1.1261342	132000	-0.059547447	327.9551	-0.001436267	-39.555664	0.63351524	0.000150389	772.2529501914978
33	70.0	40.8798	173.0	15.0	70.0	33.36811	11.866196	46.93297	-3.4435618	136000	-0.060051598	296.2392	-0.0013700537	-37.804047	0.6318029	0.00021518879	797.2563242912292
34	72.51852	48.777554	210.0	15.0	72.51852	33.42178	12.498455	47.361782	1.5388354	140000	-0.06077929	370.3609	-0.0014082007	-38.825928	0.6352999	0.00027516347	861.5173351764679
35	62.761906	36.952446	194.0	14.0	62.761906	36.67013	12.951224	50.22137	0.7323115	144000	-0.06723821	302.16858	-0.0013976097	-50.30223	0.62977904	0.00018743804	928.6126730442047
36	71.17857	40.700172	182.0	14.0	71.17857	31.466972	11.475808	45.8443	1.971524	148000	-0.054494582	284.8898	-0.00119593	-31.06836	0.62099135	-5.9165282e-05	954.4830799102783
37	80.5102	53.651608	300.0	18.0	80.5102	34.012634	12.306091	49.79648	2.5085397	152000	-0.054727275	446.4236	-0.001283206	-68.18048	0.62722325	0.00011514845	977.8209080696106
38	96.46342	52.130272	209.0	21.0	96.46342	39.046375	12.2206335	51.123096	2.6749663	156000	-0.053326506	326.79007	-0.0011344627	-58.05655	0.6210017	-4.4383214e-05	1001.8445072174072
39	84.34042	49.8949	236.0	15.0	84.34042	38.896782	14.913758	58.743916	3.161351	160000	-0.041409623	380.57574	-0.001125358	-49.79956	0.61805004	-2.9462419e-05	1016.9092500209808
40	82.375	49.4889	226.0	15.0	82.375	38.849117	13.007707	54.12622	2.7078702	164000	-0.054636642	373.20486	-0.001323171	-46.93869	0.61459726	-7.1166585e-05	1038.4580459594727
41	104.13513	51.81003	282.0	22.0	104.13513	39.469772	12.433023	53.251396	3.3128793	168000	-0.05369304	363.52087	-0.0012579188	-75.54828	0.6135086	-0.00013822767	1051.5695481300354
42	88.97727	55.176365	223.0	17.0	88.97727	45.189285	14.446785	59.89925	3.018468	172000	-0.053936906	382.68994	-0.0010944903	-57.94287	0.6171719	-5.8480673e-05	1061.6657991409302
43	108.44444	67.19393	269.0	18.0	108.44444	37.912548	14.521699	56.803577	1.1878592	176000	-0.049472198	517.513	-0.0010540187	-141.83868	0.6129606	-0.00013455481	1072.1204030513763
44	118.878784	85.72534	399.0	22.0	118.878784	45.593594	15.335213	62.928707	3.9415505	180000	-0.047831398	503.04382	-0.00095379725	-110.39444	0.61310214	-4.1094754e-05	1082.3199439048767
45	106.27027	65.04745	313.0	15.0	106.27027	49.88191	16.840366	66.364235	-0.80087835	184000	-0.056871165	475.09027	-0.0011122599	-100.04651	0.6187627	1.1517119e-05	1096.2085311412811
46	96.34146	54.25082	242.0	22.0	96.34146	42.384155	16.326214	61.986008	-4.3706145	188000	-0.059144158	382.57913	-0.0011652783	-40.05478	0.61224765	3.651789e-05	1108.7595632076263
47	113.22857	61.436188	299.0	15.0	113.22857	43.5525	13.6414995	57.682312	4.120849	192000	-0.057986077	348.70065	-0.0013748482	-54.271545	0.6113505	7.4949196e-05	1125.6749639511108
48	98.35	49.68629	224.0	20.0	98.35	44.892967	16.854385	63.15095	5.125985	196000	-0.059475854	339.34454	-0.0011244453	-61.44876	0.6082815	-1.6623735e-05	1140.0657801628113
49	95.51219	57.600864	277.0	12.0	95.51219	39.556946	14.628112	58.115532	2.9959128	200000	-0.062481724	381.5404	-0.0011530071	-45.251007	0.61260986	2.1461681e-05	1154.2594411373138
50	108.65714	54.598244	243.0	30.0	108.65714	42.401814	13.74375	59.448666	5.8949256	204000	-0.060488876	327.32126	-0.0010993667	-65.1763	0.6089365	-5.1304087e-05	1167.7479412555695
51	111.05556	57.005333	233.0	23.0	111.05556	47.163467	16.122152	64.08653	3.9443164	208000	-0.051625617	356.5448	-0.0009524673	-33.29724	0.60464555	-7.055699e-05	1180.0643572807312
52	113.314285	54.820625	235.0	29.0	113.314285	46.989525	13.907304	61.278034	0.9601888	212000	-0.06012067	350.35284	-0.0011958033	-62.24829	0.61145216	7.9354184e-05	1191.8196332454681
53	123.5625	62.275063	245.0	18.0	123.5625	42.753757	16.468134	62.663406	0.49670833	216000	-0.0576888	327.02188	-0.00088658556	-64.86453	0.6101957	-2.6903595e-05	1204.1216282844543
54	112.4	62.51272	294.0	28.0	112.4	45.678867	16.6488	67.81346	-1.5827829	220000	-0.056563955	355.1881	-0.0009902827	-55.60956	0.60678256	-6.2335283e-07	1217.5026330947876
55	123.09375	93.74578	401.0	22.0	123.09375	50.436134	14.738268	67.1845	-6.5721173	224000	-0.055642076	517.4445	-0.0010091588	-79.88681	0.61357266	0.00013174584	1230.3343241214752
56	113.4	66.19288	336.0	18.0	113.4	46.18047	19.642384	71.05364	-2.4240746	228000	-0.05629768	487.86945	-0.000726074	-126.9057	0.6062205	-2.855812e-05	1243.6205470561981
57	131.2	83.7669	332.0	20.0	131.2	44.362484	14.626192	62.4276	3.4229407	232000	-0.059223246	463.9894	-0.0008491948	-110.506165	0.6031352	-8.1216414e-05	1255.9715831279755
58	139.75	72.82789	370.0	19.0	139.75	54.69018	16.744837	71.34446	3.152001	236000	-0.052452892	369.36832	-0.0008319169	-71.90939	0.6057277	-7.184535e-06	1269.0318372249603
59	133.03334	67.375305	302.0	22.0	133.03334	47.37856	18.241693	71.04359	4.896599	240000	-0.05705104	349.1745	-0.0009412207	-58.089844	0.6042894	3.9903225e-06	1281.7264811992645
60	125.451614	83.28491	328.0	21.0	125.451614	53.211205	16.199759	70.327126	7.4175014	244000	-0.05893421	448.24384	-0.0007827319	-47.538574	0.6076836	3.8806007e-05	1295.0750341415405
61	131.3	78.95955	312.0	19.0	131.3	51.447716	16.987255	72.15182	0.777853	248000	-0.066723645	319.85947	-0.00080809	-46.16452	0.59951526	-5.4591506e-05	1307.578185081482
62	122.90625	57.227814	244.0	25.0	122.90625	48.174873	19.07262	71.68536	2.8253522	252000	-0.06386016	347.74756	-0.0008105859	-68.25833	0.59945846	-4.536754e-05	1319.9899792671204
63	123.90625	59.954857	288.0	37.0	123.90625	50.199238	14.773898	67.35717	8.203065	256000	-0.059273675	377.21112	-0.00087527186	-68.57028	0.60371757	0.00013010929	1335.7270262241364
